============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:10:51 pm
  Module:                 axis_conv_engine
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         Leakage      Dynamic       Total    
            Instance             Cells  Power(nW)    Power(nW)    Power(nW)  
    Cm[0].Gm[0..1].Mm[10].MUL        0       0.000  1351085.538  1351085.538 
    Cm[0].Gm[0..1].Mm[11].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[2].Mm[0].MUL        0       0.000  1351095.492  1351095.492 
    Cm[0].Gm[0..[2].Mm[1].MUL        0       0.000  1351083.369  1351083.369 
    Cm[0].Gm[0..[2].Mm[2].MUL        0       0.000  1351092.302  1351092.302 
    Cm[0].Gm[0..[2].Mm[3].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[2].Mm[4].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[2].Mm[5].MUL        0       0.000  1351089.367  1351089.367 
    Cm[0].Gm[0..[2].Mm[6].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[0..[2].Mm[7].MUL        0       0.000  1351085.028  1351085.028 
    Cm[0].Gm[0..[2].Mm[8].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[0..[2].Mm[9].MUL        0       0.000  1351092.302  1351092.302 
    Cm[0].Gm[0..2].Mm[10].MUL        0       0.000  1351074.946  1351074.946 
    Cm[0].Gm[0..2].Mm[11].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[0..[3].Mm[0].MUL        0       0.000  1351099.831  1351099.831 
    Cm[0].Gm[0..[3].Mm[1].MUL        0       0.000  1351090.132  1351090.132 
    Cm[0].Gm[0..[3].Mm[2].MUL        0       0.000  1351083.624  1351083.624 
    Cm[0].Gm[0..[3].Mm[3].MUL        0       0.000  1351093.578  1351093.578 
    Cm[0].Gm[0..[3].Mm[4].MUL        0       0.000  1351091.536  1351091.536 
    Cm[0].Gm[0..[3].Mm[5].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[0..[3].Mm[6].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[3].Mm[7].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[3].Mm[8].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[0..[3].Mm[9].MUL        0       0.000  1351087.708  1351087.708 
    Cm[0].Gm[0..3].Mm[10].MUL        0       0.000  1351081.455  1351081.455 
    Cm[0].Gm[0..3].Mm[11].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[1..[0].Mm[0].MUL        0       0.000  1351093.068  1351093.068 
    Cm[0].Gm[1..[0].Mm[1].MUL        0       0.000  1351082.603  1351082.603 
    Cm[0].Gm[1..[0].Mm[2].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[1..[0].Mm[3].MUL        0       0.000  1351083.624  1351083.624 
    Cm[0].Gm[1..[0].Mm[4].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[1..[0].Mm[5].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[1..[0].Mm[6].MUL        0       0.000  1351086.942  1351086.942 
    Cm[0].Gm[1..[0].Mm[7].MUL        0       0.000  1351084.900  1351084.900 
    Cm[0].Gm[1..[0].Mm[8].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[1..[0].Mm[9].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[1..0].Mm[10].MUL        0       0.000  1351090.132  1351090.132 
    Cm[0].Gm[1..0].Mm[11].MUL        0       0.000  1351085.028  1351085.028 
    Cm[0].Gm[1..[1].Mm[0].MUL        0       0.000  1351097.662  1351097.662 
    Cm[0].Gm[1..[1].Mm[1].MUL        0       0.000  1351091.536  1351091.536 
    Cm[0].Gm[1..[1].Mm[2].MUL        0       0.000  1351080.434  1351080.434 
    Cm[0].Gm[1..[1].Mm[3].MUL        0       0.000  1351079.285  1351079.285 
    Cm[0].Gm[1..[1].Mm[4].MUL        0       0.000  1351085.028  1351085.028 
    Cm[0].Gm[1..[1].Mm[5].MUL        0       0.000  1351091.536  1351091.536 
    Cm[0].Gm[1..[1].Mm[6].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[1..[1].Mm[7].MUL        0       0.000  1351089.367  1351089.367 
    Cm[0].Gm[1..[1].Mm[8].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[1..[1].Mm[9].MUL        0       0.000  1351080.434  1351080.434 
