============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:52:50 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc 120
                          physical_cells 
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
    Cm[0].Gm[0].Um[8].Mm[5].MUL      multiplier_117                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6829                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_117               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[4].MUL      multiplier_116                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6830                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_116               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[3].MUL      multiplier_115                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6831                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_115               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[2].MUL      multiplier_114                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6832                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_114               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[1].MUL      multiplier_113                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6833                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_113               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[0].MUL      multiplier_112                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6834                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_112               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[13].MUL     multiplier_111                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6835                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_111               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[12].MUL     multiplier_110                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6836                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_110               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[11].MUL     multiplier_109                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6838                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_109               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[10].MUL     multiplier_108                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6839                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_108               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[9].MUL      multiplier_107                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6840                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_107               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[8].MUL      multiplier_106                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6841                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_106               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[7].Mm[7].MUL      multiplier_105                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6842                                     130    283.651    81.171      364.822 
