============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
        MUL                           138    2151.961    164252.959    166404.920 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST19           1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.294    276203.659    280005.953 
        MUL                           138    2151.961    164437.468    166589.430 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST4            1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.258    315206.620    319008.877 
        MUL                           138    2150.397    185409.283    187559.680 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
            RC_CG_HIER_INST102          1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.258    315541.786    319344.044 
        MUL                           138    2150.397    185744.449    187894.846 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
            RC_CG_HIER_INST85           1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.258    315861.455    319663.712 
        MUL                           138    2150.397    186064.032    188214.429 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
            RC_CG_HIER_INST52           1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.258    316002.987    319805.244 
        MUL                           138    2150.397    186205.649    188356.046 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
            RC_CG_HIER_INST35           1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.258    315757.273    319559.531 
        MUL                           138    2150.397    185959.936    188110.333 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
