============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:21:46 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
SDFCNQD1BWP          53     280.476    tcbn45gsbwptc 
SDFQD1BWP             1       4.763    tcbn45gsbwptc 
XNR2D1BWP         19682   34719.048    tcbn45gsbwptc 
XNR2D2BWP           138     267.775    tcbn45gsbwptc 
XNR2D4BWP            24      88.906    tcbn45gsbwptc 
XNR3D1BWP           644    2044.829    tcbn45gsbwptc 
XNR3D2BWP             2       8.114    tcbn45gsbwptc 
XNR3D4BWP             7      37.044    tcbn45gsbwptc 
XNR4D1BWP            11      50.450    tcbn45gsbwptc 
XOR2D1BWP          3212    5665.968    tcbn45gsbwptc 
XOR2D2BWP             1       1.940    tcbn45gsbwptc 
XOR3D1BWP          1281    4067.431    tcbn45gsbwptc 
XOR3D2BWP            55     194.040    tcbn45gsbwptc 
XOR4D1BWP            71     325.634    tcbn45gsbwptc 
-----------------------------------------------------
total            173900  413038.483                  


                                                         
            Type             Instances    Area    Area % 
---------------------------------------------------------
sequential                       39108 143334.173   34.7 
inverter                          9496  10004.350    2.4 
buffer                            7659   9580.284    2.3 
clock_gating_integrated_cell       519   1739.480    0.4 
unresolved                           2      0.000    0.0 
logic                           117118 248380.196   60.1 
physical_cells                       0      0.000    0.0 
---------------------------------------------------------
total                           173902 413038.483  100.0 

